Temps (en s),Position (en mm),Force (en kN),Inclinaison (en °),Pressure (en bar),AIO1 (50mm) (en mm),AIO3 (Temp Ch) (en °C),AIO4 (100mm) (en mm),AIO5(50mm) (en mm),AIO6(100mm) (en mm),Angle (body) (en °),angle (riser) (en °),
0.0000,88.51,33.45,-3.234,92.9,-0.83,62.4,-3.22,-5.11,-9.07,-0.436,4.227,
0.0100,88.57,33.60,-3.188,92.7,-2.42,61.9,-6.07,-5.95,-10.74,-0.485,4.223,
0.0200,88.40,33.60,-3.239,93.3,-0.83,62.4,-3.21,-5.11,-9.06,-0.436,4.227,
0.0300,88.28,33.60,-3.188,92.7,-2.42,61.9,-6.06,-5.94,-10.73,-0.485,4.223,
0.0400,88.28,33.60,-3.238,93.7,-0.83,62.1,-3.21,-5.11,-9.09,-0.437,4.225,
0.0500,88.13,33.66,-3.181,93.2,-2.42,61.7,-6.04,-5.93,-10.72,-0.486,4.225,
0.0600,88.26,33.66,-3.242,93.0,-0.83,62.1,-3.23,-5.11,-9.08,-0.437,4.219,
0.0700,88.20,33.66,-3.192,92.8,-2.42,61.6,-6.05,-5.93,-10.72,-0.486,4.223,
0.0800,88.28,33.54,-3.244,93.0,-0.82,62.1,-3.21,-5.11,-9.07,-0.436,4.227,
0.0900,88.09,33.63,-3.188,93.1,-2.41,61.8,-6.06,-5.94,-10.74,-0.484,4.233,
0.1000,88.13,33.51,-3.246,92.7,-0.85,62.0,-3.25,-5.12,-9.10,-0.438,4.221,
0.1100,88.48,33.60,-3.185,93.5,-2.41,61.6,-6.03,-5.92,-10.71,-0.485,4.216,
0.1200,88.49,33.57,-3.246,92.6,-0.84,62.4,-3.24,-5.12,-9.10,-0.437,4.223,
0.1300,88.46,33.66,-3.188,92.9,-2.42,62.0,-6.00,-5.92,-10.70,-0.486,4.229,
0.1400,88.48,33.51,-3.246,93.3,-0.84,62.6,-3.25,-5.12,-9.11,-0.437,4.225,
0.1500,88.55,33.66,-3.188,92.9,-2.41,62.1,-6.01,-5.92,-10.69,-0.485,4.219,
0.1600,88.37,33.51,-3.245,93.3,-0.85,62.5,-3.29,-5.13,-9.13,-0.438,4.225,
0.1700,88.48,33.51,-3.183,93.0,-2.41,62.1,-6.03,-5.92,-10.70,-0.486,4.223,
0.1800,88.51,33.66,-3.242,93.4,-0.85,62.6,-3.29,-5.13,-9.12,-0.439,4.225,
0.1900,88.42,33.48,-3.182,92.9,-2.39,62.1,-5.98,-5.90,-10.67,-0.485,4.234,
0.2000,88.49,33.63,-3.248,92.9,-0.86,62.5,-3.29,-5.13,-9.13,-0.438,4.221,
0.2100,88.51,33.51,-3.181,93.1,-2.40,62.1,-5.98,-5.91,-10.67,-0.484,4.229,
0.2200,88.48,33.54,-3.248,92.8,-0.86,62.5,-3.28,-5.13,-9.12,-0.438,4.225,
0.2300,88.51,33.57,-3.175,93.2,-2.40,62.1,-5.98,-5.90,-10.68,-0.485,4.227,
0.2400,88.48,33.63,-3.245,93.2,-0.86,62.4,-3.30,-5.14,-9.13,-0.438,4.225,
